type,id,name,parent_type,parent_id
folder,90149224698,VMS - Viking Metal Supply,space,90141222492
list,901416237319,New Client Setup,folder,90149224698
list,901416237309,Admin/Others,folder,90149224698
list,901416637621,IP Campaign,folder,90149224698
folder,90147915679,TapGoods,space,90141222492
list,901414639356,Admin/Others,folder,90147915679
folder,90143001995,Demo Website,space,90141222492
list,901405042036,Website Development,folder,90143001995
list,901405899871,Website Maintenance / Technical issues,folder,90143001995
space,90140906925,TEMPLATES,workspace,9014205398
folder,90142447768,Complete Local SEO Checklist,space,90140906925
list,901404031286,SEO - Onboarding,folder,90142447768
list,901404216148,SEO - Initial Local SEO Setup,folder,90142447768
list,901403818682,SEO - Keyword Competitors Research,folder,90142447768
list,901403992561,SEO - Competitor Analysis,folder,90142447768
list,901404031308,Conversion Rate Optimization,folder,90142447768
list,901404031312,SEO - Content,folder,90142447768
list,901404031322,SEO - On page (Monthly),folder,90142447768
list,901404031331,SEO - Hosting,folder,90142447768
list,901403818830,SEO - Monthly SEO Tasks,folder,90142447768
list,901404216808,SEO - Technical,folder,90142447768
list,901404280442,Local SEO Template,folder,90142447768
folder,90142449356,Complete Google Ads Checklist,space,90140906925
list,901404213524,General Google Ads Account Setup / Onboard Existing Account,folder,90142449356
list,901404213620,Google Search Campaigns Setup,folder,90142449356
list,901404213704,Google Display Campaigns Setup,folder,90142449356
list,901404213735,Landing Page Optimization,folder,90142449356
list,901406720518,Create Google Ad Campaign,folder,90142449356
list,901406721118,Using Google Keyword Planner for Free,folder,90142449356
list,901406721278,Find the Best Google Display Network Placements for Your Ads,folder,90142449356
list,901409892452,Google Ads,folder,90142449356
folder,90141976201,Website Template,space,90140906925
list,901403555970,[INT USE] List of Standard Plugins,folder,90141976201
list,901403359985,Website Design,folder,90141976201
list,901406550385,WP From Scratch,folder,90141976201
list,901406224169,WP <> WP - Website Migration & Build,folder,90141976201
list,901403362472,Volatile <> WP - Website Migration,folder,90141976201
list,901406634095,Website Pre-Launch Checklist,folder,90141976201
list,901403537067,Website Launch/Publishing,folder,90141976201
list,901403610945,Website Content Update,folder,90141976201
list,901407057818,Website Monthly Updates,folder,90141976201
list,901412875441,Hosting Migration,folder,90141976201
list,901415690122,WebRequest Setup,folder,90141976201
list,901416835729,Goodshuffle Website,folder,90141976201
folder,90142447963,Admin Template,space,90140906925
list,901404092919,New Client Setup,folder,90142447963
folder,90142450960,SEO Templates,space,90140906925
list,901403818874,SEO - Twelve Legs,folder,90142450960
list,901405689030,SEO - Eight Legs,folder,90142450960
list,901403818805,SEO - Four Legs,folder,90142450960
list,901406813024,[CLIENT ABBREVIATION] - SEO Content Tracker,folder,90142450960
folder,90142451015,Design Templates and Standards,space,90140906925
list,901403818375,Digital Display - Always 72 dpi,folder,90142451015
folder,90143846425,Campaigns,space,90140906925
list,901406643520,Display Campaign Setup,folder,90143846425
folder,90142552303,New Client Setup,space,90140906925
list,901404277685,New Client Setup,folder,90142552303
folder,90143876809,BNI Market Research Template,space,90140906925
list,901406725746,BNI Market Research,folder,90143876809
folder,90144019014,Project Management Template,space,90140906925
list,901407104543,Project Management,folder,90144019014
folder,90144522336,Onboard New Client,space,90140906925
list,901408740850,Admin,folder,90144522336
list,901409031685,Complete Facebook Ads Checklist ,folder,90144522336
list,901409088640,Complete Social Media Onboarding Checklist,folder,90144522336
folder,90144574678,Newsletter Template,space,90140906925
list,901408830074,Newsletter Process,folder,90144574678
folder,90144445131,Website Template,space,90140906925
list,901408492412,[INT USE] List of Standard Plugins,folder,90144445131
list,901408492405,Website Design,folder,90144445131
list,901408492414,WP From Scratch,folder,90144445131
list,901408492406,WP <> WP - Website Migration & Build,folder,90144445131
list,901408492394,Volatile <> WP - Website Migration,folder,90144445131
list,901408492391,Website Pre-Launch Checklist,folder,90144445131
list,901408492411,Website Launch/Publishing,folder,90144445131
list,901408492393,Website Content Update,folder,90144445131
list,901408492404,Website Monthly Updates,folder,90144445131
space,90141388088,TLM - Internal,workspace,9014205398
folder,90142139013,Team Directory,space,90141388088
list,901403611226,Twelve Legs Marketing Team,folder,90142139013
folder,90149856430,Internal Meetings,space,90141388088
folder,90144416284,CJ <> Rali Check-ins,space,90141388088
list,901408385256,Topics to Discuss,folder,90144416284
space,90141496075,Resources,workspace,9014205398
folder,90142572306,Process Flowchart,space,90141496075
list,901404499711,Swimlane Template,folder,90142572306
list,901402452045,Sitemap Whiteboard Template,folder,90142572306
